Commit_Id,PR,Repo
b3cfe8bab4bb153ed1ecbb24693efc28e029724e,Pull request #763: TM-1365 provide input for processing tenants to pre-populate user count,saas-platform-ms-tenant-manager
3ffe99070cdefba715d6d5dcb8025bbe9375e236,TM-1365 validate end date,saas-platform-ms-tenant-manager
311c475790539f5eeee81ca4ae6d522c8db20474,Pull request #764: PIN-489:It's fix,saas-platform-ms-tenant-manager
56193dde024da4a51da732c9bb37d3be0b437a90,PIN-489: It's fix,saas-platform-ms-tenant-manager
222a20df4bb898c6a6ceed3c78081b6a0e7a05f4,PIN-489: IT's fix,saas-platform-ms-tenant-manager
731fa285ac90f8a705f11d81f97d8153c97ef179,TM-1365 code optimize,saas-platform-ms-tenant-manager
940f0fbe62b9d0b819bfb1ef411bccb51c0612e9,TM-1365 updated,saas-platform-ms-tenant-manager
4942e27ea60022743df93d6b8d52ec2233fa10c8,TM-1365 merge conflicts,saas-platform-ms-tenant-manager
e6d2561734fe57ecd3183f797cd5cc89762a8f7a,TM-1365 Resolved Comments,saas-platform-ms-tenant-manager
7ca2c6d947501438ec10eccdf694f83d12484716,Pull request #747: PIN-489: Presence sync validation added for adapter version,saas-platform-ms-tenant-manager
8e654771b88d05b7b1f79671bac7024d86503a52,Pull request #761: Feature/TM-1563 Add pagination support to getAllPartnersAggInfo API,saas-platform-ms-tenant-manager
e8c42aa39784e58badf6e2bbe316c2c56466e2b7,Pull request #762: TM-1631: added acutoscaling files for ca,saas-platform-ms-tenant-manager
a3e56114258411649ac3dd58e3fd5bbd72c82a8b,TM-1365 provide input for processing tenants to pre-populate user count data,saas-platform-ms-tenant-manager
5c7cf5e8ce3e4e12829f9ae2811d9b8e449d349d,TM-1563: fixed review comments,saas-platform-ms-tenant-manager
f6364f05e54c1fd68aa5ee80d9d4879e5bfbbf3d,TM-1366 Modify UserAuditStreamDataProcessor * Add UserAuditStreamREader initializer servic,saas-platform-ms-tenant-manager
67c4965899df25be43104a7ba9a97a1fb3ae58ba,TM-1631: added acutoscaling files for ca,saas-platform-ms-tenant-manager
31fdecca75ca37185fcbfa431b8cf4e7f208571c,TM-1563 : addd IT and UT,saas-platform-ms-tenant-manager
5d3ee1af92ff6c5d13df7f2dda59dcaa7ca4b120,PIN-489: Partner create/update using adapter version,saas-platform-ms-tenant-manager
ca3c4c6dbec5687066aaa43892516e7968c9ab4d,TM-1366 Refactor StreamReader,saas-platform-ms-tenant-manager
cd06c366759a12b17069b6fc66dab04a77c8dfca,TM-1563 fixed UT,saas-platform-ms-tenant-manager
ec5b3fbb3c525b9e1bb51c01c532e092e1368ad0,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
5c3face3e91f508c42f5d5c62da664f1c01bd0a7,Merge remote-tracking branch 'origin/master' into PIN-489,saas-platform-ms-tenant-manager
6b9c473e7e5aa72bd3cca5d553060c7fdbf03f49,TM-1563 : add Pagination for GetALLParternesAggInfo API,saas-platform-ms-tenant-manager
9311b442f11f574bcd53cf664f11aa467f007ad4,Pull request #759: TM-1504 Add pagination support to getCurrentSubTenantsAggInfo API,saas-platform-ms-tenant-manager
f89747d19f6d1b9d5e25afb0609e129d7bc388b2,Merge branch 'master' into TM-1504-Add-pagination-support-to-getCurrentSubTenantsAggInfo-A,saas-platform-ms-tenant-manager
960123c5eac2d2bdc493bf9c2fa44f27ac7c5f39,TM-1504 Fix IT,saas-platform-ms-tenant-manager
efc82ed3fbbb4d123356b777003b1a202a7f6252,TM-1504 Review comments,saas-platform-ms-tenant-manager
578993118e12d278b050096de27babb98e915890,Pull request #757: TM-1502 Change the lastEvaluatedKey as lastRecordId as per the API cont,saas-platform-ms-tenant-manager
2b16afffebcfeb5183d22abccbe24ab4202bf5b0,Merge branch 'master' into feature/TM-1502-change-pagination-last-evaluated-key,saas-platform-ms-tenant-manager
466e120035992fa1d8a67a240ce75f103141abd8,Pull request #758: Feature/TM-1420 backend implement scheduler to pre populate user count,saas-platform-ms-tenant-manager
d5338e620e73e1421ee03051fcfb3d2784e9bce1,Merge remote-tracking branch 'origin/master' into PIN-489,saas-platform-ms-tenant-manager
